nuRepos,startDates,endDates,ginis,endLOCs,uniqueAuthorsFromBeginning,numAnnotationsThisWindow,numCommitsThisWindow
dbeaver/dbeaver,2020-07-03,2020-07-27,0.614379085,296370,30,153,21
signalapp/Signal-Android,2015-03-11,2015-06-09,0.2417582418,35973,2,13,7
signalapp/Signal-Android,2015-06-11,2015-09-09,0.4526315789,39747,3,70,19
signalapp/Signal-Android,2015-09-15,2015-12-11,0.5318593582,48722,6,167,39
signalapp/Signal-Android,2015-12-18,2016-02-05,0.4808743169,49329,6,61,3
signalapp/Signal-Android,2016-03-23,2016-03-23,0,49670,6,4,1
signalapp/Signal-Android,2016-08-01,2016-10-16,0.4916666667,51948,8,30,8
signalapp/Signal-Android,2016-11-01,2017-01-24,0.4589687727,56132,8,81,17
signalapp/Signal-Android,2017-02-02,2017-04-25,0.5756097561,55996,10,82,15
signalapp/Signal-Android,2017-05-08,2017-08-01,0.5994397759,52148,10,51,7
signalapp/Signal-Android,2017-08-07,2017-11-01,0.5220070423,55175,10,71,16
signalapp/Signal-Android,2017-11-08,2018-02-01,0.7069767442,54230,10,215,15
signalapp/Signal-Android,2018-02-07,2018-04-26,0.7135281385,60013,11,385,24
signalapp/Signal-Android,2018-05-10,2018-08-06,0.5217391304,63910,12,173,23
signalapp/Signal-Android,2018-08-09,2018-10-29,0.5399774775,68628,12,148,24
signalapp/Signal-Android,2018-11-08,2019-02-01,0.7356338028,73195,12,355,20
signalapp/Signal-Android,2019-02-07,2019-05-08,0.8561207106,76432,13,1174,35
signalapp/Signal-Android,2019-05-09,2019-08-07,0.7419405321,88128,13,1278,50
signalapp/Signal-Android,2019-08-09,2019-11-04,0.6305530776,92413,16,760,59
signalapp/Signal-Android,2019-11-08,2020-02-06,0.7024870242,115707,16,1360,68
signalapp/Signal-Android,2020-02-07,2020-05-07,0.5745268542,134643,17,1955,105
signalapp/Signal-Android,2020-05-08,2020-07-22,0.5919669326,145840,19,1678,156
eugenp/tutorials,2014-08-11,2014-08-11,0,12201,1,2,1
eugenp/tutorials,2015-10-02,2015-12-15,0.1666666667,23894,3,4,3
eugenp/tutorials,2016-03-11,2016-06-03,0.08333333333,30726,4,8,3
eugenp/tutorials,2016-06-12,2016-07-31,0.25,43862,7,8,3
eugenp/tutorials,2017-02-19,2017-05-19,0.55,109047,11,20,6
eugenp/tutorials,2017-08-28,2017-10-22,0.4090909091,137289,13,11,2
eugenp/tutorials,2017-12-14,2018-02-21,0.2619047619,163464,18,14,6
eugenp/tutorials,2018-04-07,2018-05-28,0.09523809524,182718,21,7,3
eugenp/tutorials,2018-07-17,2018-09-22,0.4537815126,121380,28,17,7
eugenp/tutorials,2018-10-16,2018-11-09,0.4533333333,233696,33,15,5
eugenp/tutorials,2019-02-25,2019-04-25,0.3596491228,271011,36,19,6
eugenp/tutorials,2019-07-16,2019-10-04,0,301610,38,3,3
eugenp/tutorials,2019-11-07,2020-01-24,0.2037037037,320061,44,12,9
eugenp/tutorials,2020-03-22,2020-06-07,0.5517241379,346316,47,29,3
Blankj/AndroidUtilCode,2017-05-12,2017-08-01,0.6155063291,11326,1,79,8
Blankj/AndroidUtilCode,2017-09-06,2017-09-30,0.6882183908,13112,1,87,8
Blankj/AndroidUtilCode,2018-01-10,2018-04-10,0.4441489362,15981,1,47,8
Blankj/AndroidUtilCode,2018-04-18,2018-06-29,0.5689655172,19393,1,232,8
Blankj/AndroidUtilCode,2018-07-31,2018-10-16,0.6025641026,20037,1,52,3
Blankj/AndroidUtilCode,2018-10-30,2019-01-28,0.793699187,17812,1,328,6
Blankj/AndroidUtilCode,2019-02-11,2019-04-28,0.6,19495,1,80,10
Blankj/AndroidUtilCode,2019-05-29,2019-08-16,0.6684491979,24672,2,102,11
Blankj/AndroidUtilCode,2019-09-27,2019-11-28,0.4431818182,29747,2,88,4
facebook/fresco,2015-03-23,2015-06-18,0.8108286563,30911,6,233,13
facebook/fresco,2015-07-01,2015-09-24,0.4254385965,40503,9,38,12
facebook/fresco,2015-10-02,2015-12-17,0.3602484472,42502,11,23,7
facebook/fresco,2016-01-11,2016-03-21,0.5465465465,44574,13,37,9
facebook/fresco,2016-04-21,2016-07-20,0.3461538462,48024,20,40,13
facebook/fresco,2016-08-05,2016-10-26,0.3596168018,53223,24,59,23
facebook/fresco,2016-11-11,2017-01-26,0.3182682463,58941,26,159,43
facebook/fresco,2017-02-10,2017-05-11,0.3145299145,61435,27,39,15
facebook/fresco,2017-05-16,2017-08-09,0.375739645,60454,29,65,26
facebook/fresco,2017-08-23,2017-11-10,0.2282608696,61227,33,23,12
facebook/fresco,2017-12-01,2018-03-01,0.449382716,62540,38,45,9
